sql,sentences_fr
SELECT DISTINCT T1.player_name FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id ORDER BY overall_rating DESC LIMIT 3,Qui sont les 3 meilleurs joueurs en termes de note globale ?
"SELECT DISTINCT T1.player_name , T1.birthday FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id ORDER BY potential DESC LIMIT 5",Énumérez les noms et les anniversaires des cinq meilleurs joueurs en termes de potentiel.
SELECT count(*) FROM performance,Combien y a-t-il de représentations ?
SELECT HOST FROM performance ORDER BY Attendance ASC,Dressez la liste des hôtes des spectacles par ordre croissant de fréquentation.
"SELECT Date , LOCATION FROM performance",Quels sont les dates et lieux des représentations ?
"SELECT Attendance FROM performance WHERE LOCATION = ""TD Garden"" OR LOCATION = ""Bell Centre""","Afficher les présences des représentations au lieu ""TD Garden"" ou ""Bell Centre"""
SELECT avg(Attendance) FROM performance,Quel est le nombre moyen de spectateurs pour les représentations ?
SELECT Date FROM performance ORDER BY Attendance DESC LIMIT 1,Quelle est la date de la représentation avec le plus grand nombre de spectateurs ?
"SELECT LOCATION , COUNT(*) FROM performance GROUP BY LOCATION",Montrez différents endroits et le nombre de représentations à chaque endroit.
SELECT LOCATION FROM performance GROUP BY LOCATION ORDER BY COUNT(*) DESC LIMIT 1,Afficher le lieu de représentation le plus courant.
SELECT LOCATION FROM performance GROUP BY LOCATION HAVING COUNT(*) >= 2,Montrez les lieux qui ont au moins deux représentations.
SELECT LOCATION FROM performance WHERE Attendance > 2000 INTERSECT SELECT LOCATION FROM performance WHERE Attendance < 1000,Affichez les lieux qui ont à la fois des spectacles avec plus de 2 000 participants et des spectacles avec moins de 1 000 participants.
"SELECT T2.Name , T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID = T3.Performance_ID",Indiquez les noms des membres et le lieu des représentations auxquelles ils ont assisté.
"SELECT T2.Name , T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID = T3.Performance_ID ORDER BY T2.Name ASC",Indiquez les noms des membres et le lieu des spectacles auxquels ils ont assisté dans l'ordre alphabétique croissant de leurs noms.
"SELECT T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID = T3.Performance_ID WHERE T2.Role = ""Violin""","Afficher les dates des représentations avec les membres présents dont les rôles sont ""Violon""."
"SELECT T2.Name , T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID = T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID = T3.Performance_ID ORDER BY T3.Attendance DESC",Indiquez les noms des membres et les dates des représentations auxquelles ils ont assisté par ordre décroissant de fréquentation des représentations.
SELECT Name FROM member WHERE Member_ID NOT IN (SELECT Member_ID FROM member_attendance),Énumérez les noms des membres qui n'ont assisté à aucune représentation.
SELECT DISTINCT building FROM classroom WHERE capacity > 50,Trouvez les bâtiments qui ont des chambres d'une capacité supérieure à 50.
SELECT DISTINCT building FROM classroom WHERE capacity > 50,Quels sont les bâtiments distincts avec des capacités supérieures à 50 ?
SELECT count(*) FROM classroom WHERE building != 'Lamberton',Comptez le nombre de chambres qui ne sont pas dans le bâtiment Lamberton.
SELECT count(*) FROM classroom WHERE building != 'Lamberton',Combien de salles de classe ne sont pas à Lamberton ?
"SELECT dept_name , building FROM department WHERE budget > (SELECT avg(budget) FROM department)",Quel est le nom et le bâtiment des départements dont le budget est supérieur au budget moyen ?
"SELECT dept_name , building FROM department WHERE budget > (SELECT avg(budget) FROM department)",Donnez le nom et le bâtiment des départements avec un budget supérieur à la moyenne.
"SELECT building , room_number FROM classroom WHERE capacity BETWEEN 50 AND 100",Trouver le numéro de chambre des salles pouvant accueillir 50 à 100 étudiants et leurs locaux.
"SELECT building , room_number FROM classroom WHERE capacity BETWEEN 50 AND 100",Quels sont les numéros de salle et les bâtiments correspondants pour les salles de classe pouvant accueillir entre 50 et 100 élèves ?
"SELECT dept_name , building FROM department ORDER BY budget DESC LIMIT 1",Trouvez le nom et le bâtiment du département avec le budget le plus élevé.
"SELECT dept_name , building FROM department ORDER BY budget DESC LIMIT 1",Quel est le nom du département et le bâtiment correspondant pour le département avec le plus gros budget ?
SELECT name FROM student WHERE dept_name = 'History' ORDER BY tot_cred DESC LIMIT 1,Quel est le nom de l'étudiant qui a le total de crédits le plus élevé dans le département d'histoire.
SELECT name FROM student WHERE dept_name = 'History' ORDER BY tot_cred DESC LIMIT 1,Donnez le nom de l'étudiant du département d'histoire avec le plus de crédits.
SELECT count(*) FROM classroom WHERE building = 'Lamberton',Combien de chambres compte le bâtiment Lamberton ?
SELECT count(*) FROM classroom WHERE building = 'Lamberton',Comptez le nombre de salles de classe à Lamberton.
SELECT count(DISTINCT s_id) FROM advisor,Combien d'étudiants ont des conseillers?
SELECT count(DISTINCT s_id) FROM advisor,Comptez le nombre d'étudiants qui ont des conseillers.
SELECT count(DISTINCT dept_name) FROM course,Combien de départements proposent des cours ?
SELECT count(DISTINCT dept_name) FROM course,Comptez le nombre de départements qui offrent des cours.
SELECT count(DISTINCT course_id) FROM course WHERE dept_name = 'Physics',Combien de cours différents proposés par le département de Physique ?
SELECT count(DISTINCT course_id) FROM course WHERE dept_name = 'Physics',Comptez le nombre de cours dans le département de physique.
SELECT T1.title FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.course_id GROUP BY T2.course_id HAVING count(*) = 2,Trouver le titre des cours qui ont deux prérequis ?
SELECT T1.title FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.course_id GROUP BY T2.course_id HAVING count(*) = 2,Quels sont les titres des cours à deux prérequis ?
"SELECT T1.title , T1.credits , T1.dept_name FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.course_id GROUP BY T2.course_id HAVING count(*) > 1","Trouver le titre, le crédit et le nom du département des cours qui ont plus d'un prérequis ?"
"SELECT T1.title , T1.credits , T1.dept_name FROM course AS T1 JOIN prereq AS T2 ON T1.course_id = T2.course_id GROUP BY T2.course_id HAVING count(*) > 1","Quels sont le titre, la valeur des crédits et le nom du département pour les cours avec plus d'un prérequis ?"
SELECT count(*) FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Combien de cours qui n'ont pas de prérequis ?
SELECT count(*) FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Comptez le nombre de cours sans prérequis.
SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Trouver le nom des cours qui n'ont pas de prérequis ?
SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Quels sont les titres des cours sans prérequis ?
SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Trouver le nom des cours qui n'ont pas de prérequis ?
SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),Comment s'appellent les cours sans prérequis ?
SELECT COUNT (DISTINCT id) FROM teaches,Combien d'instructeurs différents ont enseigné un cours?
SELECT COUNT (DISTINCT id) FROM teaches,Comptez le nombre d'instructeurs distincts qui ont enseigné un cours.
SELECT sum(budget) FROM department WHERE dept_name = 'Marketing' OR dept_name = 'Finance',Trouver les budgets totaux du département Marketing ou Finance.
SELECT sum(budget) FROM department WHERE dept_name = 'Marketing' OR dept_name = 'Finance',Quelle est la somme des budgets des départements Marketing et Finance ?
SELECT dept_name FROM instructor WHERE name LIKE '%Soisalon%',Trouver le nom du département de l'instructeur dont le nom contient 'Soisalon'.
SELECT dept_name FROM instructor WHERE name LIKE '%Soisalon%',Comment s'appelle le département avec une structure qui s'appelle 'Soisalon' ?
SELECT count(*) FROM classroom WHERE building = 'Lamberton' AND capacity < 50,Combien de chambres dont la capacité est inférieure à 50 le bâtiment Lamberton compte-t-il ?
SELECT count(*) FROM classroom WHERE building = 'Lamberton' AND capacity < 50,Comptez le nombre de chambres à Lamberton avec une capacité inférieure à 50.
"SELECT dept_name , budget FROM department WHERE budget > (SELECT avg(budget) FROM department)",Trouvez le nom et le budget des départements dont les budgets sont supérieurs au budget moyen.
"SELECT dept_name , budget FROM department WHERE budget > (SELECT avg(budget) FROM department)",Quels sont les noms et les budgets des services dont les budgets sont supérieurs à la moyenne ?
SELECT name FROM instructor WHERE dept_name = 'Statistics' ORDER BY salary LIMIT 1,quel est le nom de l'instructeur qui est au département des statistiques et qui gagne le salaire le plus bas ?
SELECT name FROM instructor WHERE dept_name = 'Statistics' ORDER BY salary LIMIT 1,Donnez le nom de l'instructeur qui gagne le moins dans le département des statistiques.
SELECT title FROM course WHERE dept_name = 'Statistics' INTERSECT SELECT title FROM course WHERE dept_name = 'Psychology',Trouvez le titre du cours fourni par les départements de statistique et de psychologie.
SELECT title FROM course WHERE dept_name = 'Statistics' INTERSECT SELECT title FROM course WHERE dept_name = 'Psychology',Quel est le titre d'un cours répertorié à la fois dans les départements de statistique et de psychologie ?
SELECT title FROM course WHERE dept_name = 'Statistics' EXCEPT SELECT title FROM course WHERE dept_name = 'Psychology',Trouvez le titre du cours qui est fourni par les départements de statistique mais pas de psychologie.
SELECT title FROM course WHERE dept_name = 'Statistics' EXCEPT SELECT title FROM course WHERE dept_name = 'Psychology',Quels sont les titres des cours qui se trouvent dans le département Statistiques mais pas dans le département Psychologie ?
SELECT id FROM teaches WHERE semester = 'Fall' AND YEAR = 2009 EXCEPT SELECT id FROM teaches WHERE semester = 'Spring' AND YEAR = 2010,Trouvez l'identifiant des instructeurs qui ont enseigné un cours à l'automne 2009 mais pas au printemps 2010.
SELECT id FROM teaches WHERE semester = 'Fall' AND YEAR = 2009 EXCEPT SELECT id FROM teaches WHERE semester = 'Spring' AND YEAR = 2010,Quels sont les identifiants des instructeurs qui ont enseigné à l'automne 2009 mais pas au printemps 2010 ?
SELECT DISTINCT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id = T2.id WHERE YEAR = 2009 OR YEAR = 2010,Trouvez le nom des étudiants qui ont suivi n'importe quel cours dans les années 2009 et 2010.
SELECT DISTINCT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id = T2.id WHERE YEAR = 2009 OR YEAR = 2010,Comment s'appellent les élèves qui ont suivi les cours en 2009 ou 2010 ?
SELECT dept_name FROM course GROUP BY dept_name ORDER BY count(*) DESC LIMIT 3,Trouver les noms des 3 meilleurs départements qui offrent le plus grand nombre de cours ?
SELECT dept_name FROM course GROUP BY dept_name ORDER BY count(*) DESC LIMIT 3,Quels sont les noms des 3 départements avec le plus de cours ?
SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,Trouver le nom du département qui offre le total de crédits le plus élevé ?
SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,Quel est le nom du département avec le plus de crédits ?
"SELECT title FROM course ORDER BY title , credits",Énumérez les noms de tous les cours classés par leurs titres et leurs crédits.
"SELECT title FROM course ORDER BY title , credits","Étant donné les titres de tous les cours, dans l'ordre des titres et des crédits."
SELECT dept_name FROM department ORDER BY budget LIMIT 1,Quel département a le budget le plus bas ?
SELECT dept_name FROM department ORDER BY budget LIMIT 1,Donnez le nom du département avec le budget le plus bas.
"SELECT dept_name , building FROM department ORDER BY budget DESC","Dressez la liste des noms et des bâtiments de tous les départements triés par budget, du plus grand au plus petit."
"SELECT dept_name , building FROM department ORDER BY budget DESC","Quels sont les noms et bâtiments des départements, classés par budget décroissant ?"
SELECT name FROM instructor ORDER BY salary DESC LIMIT 1,Quel est le moniteur avec le salaire le plus élevé ?
SELECT name FROM instructor ORDER BY salary DESC LIMIT 1,Donnez le nom de l'instructeur le mieux payé.
SELECT * FROM instructor ORDER BY salary,Dressez la liste des informations de tous les instructeurs classés par leur salaire en ordre croissant.
SELECT * FROM instructor ORDER BY salary,"Donnez toutes les informations concernant les instructeurs, par ordre de salaire du moins au plus élevé."
"SELECT name , dept_name FROM student ORDER BY tot_cred",Trouvez le nom des étudiants et leurs noms de département triés par leur total de crédits par ordre croissant.
"SELECT name , dept_name FROM student ORDER BY tot_cred","Quels sont les noms des étudiants et de leurs départements respectifs, classés par nombre de crédits du moins au plus grand ?"
"SELECT T1.title , T3.name FROM course AS T1 JOIN teaches AS T2 ON T1.course_id = T2.course_id JOIN instructor AS T3 ON T2.id = T3.id WHERE YEAR = 2008 ORDER BY T1.title",listez par ordre alphabétique tous les noms de cours et les noms de leurs instructeurs pour l'année 2008.
"SELECT T1.title , T3.name FROM course AS T1 JOIN teaches AS T2 ON T1.course_id = T2.course_id JOIN instructor AS T3 ON T2.id = T3.id WHERE YEAR = 2008 ORDER BY T1.title","Afficher tous les titres et les noms de leurs instructeurs pour les cours en 2008, en ordre alphabétique par titre."
SELECT T1.name FROM instructor AS T1 JOIN advisor AS T2 ON T1.id = T2.i_id GROUP BY T2.i_id HAVING count(*) > 1,Trouvez le nom des instructeurs qui conseillent plus d'un étudiant.
SELECT T1.name FROM instructor AS T1 JOIN advisor AS T2 ON T1.id = T2.i_id GROUP BY T2.i_id HAVING count(*) > 1,Quels sont les noms des instructeurs qui conseillent plus d'un étudiant ?
SELECT T1.name FROM student AS T1 JOIN advisor AS T2 ON T1.id = T2.s_id GROUP BY T2.s_id HAVING count(*) > 1,Trouver le nom des étudiants qui ont plus d'un conseiller ?
SELECT T1.name FROM student AS T1 JOIN advisor AS T2 ON T1.id = T2.s_id GROUP BY T2.s_id HAVING count(*) > 1,Quels sont les noms des étudiants qui ont plus d'un conseiller ?
"SELECT count(*) , building FROM classroom WHERE capacity > 50 GROUP BY building",Trouvez le nombre de chambres avec une capacité supérieure à 50 pour chaque bâtiment.
"SELECT count(*) , building FROM classroom WHERE capacity > 50 GROUP BY building",Combien de chambres dans chaque bâtiment ont une capacité de plus de 50 ?
"SELECT max(capacity) , avg(capacity) , building FROM classroom GROUP BY building",Trouvez la capacité maximale et moyenne des chambres de chaque bâtiment.
"SELECT max(capacity) , avg(capacity) , building FROM classroom GROUP BY building",Quelle est la capacité maximale et moyenne de chambres dans chaque bâtiment ?
SELECT title FROM course GROUP BY title HAVING count(*) > 1,Trouvez le titre du cours qui est offert par plus d'un département.
SELECT title FROM course GROUP BY title HAVING count(*) > 1,Quels sont les titres des cours offerts dans plus d'un département?
"SELECT sum(credits) , dept_name FROM course GROUP BY dept_name",Trouvez le total des crédits des cours dispensés par les différents départements.
"SELECT sum(credits) , dept_name FROM course GROUP BY dept_name",Combien de crédits au total sont offerts par chaque département ?
"SELECT min(salary) , dept_name FROM instructor GROUP BY dept_name HAVING avg(salary) > (SELECT avg(salary) FROM instructor)",Trouvez le salaire minimum pour les départements dont le salaire moyen est supérieur au paiement moyen de tous les instructeurs.
"SELECT min(salary) , dept_name FROM instructor GROUP BY dept_name HAVING avg(salary) > (SELECT avg(salary) FROM instructor)",Quel est le salaire le plus bas dans les départements dont le salaire moyen est supérieur à la moyenne générale.
"SELECT count(*) , semester , YEAR FROM SECTION GROUP BY semester , YEAR",Trouvez le nombre de cours dispensés par semestre et par année.
"SELECT count(*) , semester , YEAR FROM SECTION GROUP BY semester , YEAR",Combien de cours sont dispensés par semestre et par année ?
SELECT YEAR FROM SECTION GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Trouvez l'année qui offre le plus grand nombre de cours.
SELECT YEAR FROM SECTION GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Quelle année a eu le plus grand nombre de cours?
"SELECT semester , YEAR FROM SECTION GROUP BY semester , YEAR ORDER BY count(*) DESC LIMIT 1",Trouvez l'année et le semestre où le plus grand nombre de cours est proposé.
"SELECT semester , YEAR FROM SECTION GROUP BY semester , YEAR ORDER BY count(*) DESC LIMIT 1",Quelle est l'année et le semestre avec le plus de cours ?
SELECT dept_name FROM student GROUP BY dept_name ORDER BY count(*) DESC LIMIT 1,Trouver le nom du département qui compte le plus grand nombre d'étudiants ?
SELECT dept_name FROM student GROUP BY dept_name ORDER BY count(*) DESC LIMIT 1,Quel est le nom du département avec le plus grand nombre d'inscriptions ?
"SELECT count(*) , dept_name FROM student GROUP BY dept_name",Trouver le nombre total d'étudiants dans chaque département.
"SELECT count(*) , dept_name FROM student GROUP BY dept_name",Combien y a-t-il d'étudiants dans chaque département ?
"SELECT semester , YEAR FROM takes GROUP BY semester , YEAR ORDER BY count(*) LIMIT 1",Trouvez le semestre et l'année qui ont le moins d'étudiants prenant n'importe quelle classe.
"SELECT semester , YEAR FROM takes GROUP BY semester , YEAR ORDER BY count(*) LIMIT 1",Quel semestre et quelle année ont eu le moins d'étudiants ?
SELECT i_id FROM advisor AS T1 JOIN student AS T2 ON T1.s_id = T2.id WHERE T2.dept_name = 'History',Quel est l'identifiant de l'instructeur qui conseille tous les étudiants du département d'histoire ?
SELECT i_id FROM advisor AS T1 JOIN student AS T2 ON T1.s_id = T2.id WHERE T2.dept_name = 'History',Donner l'identité de l'enseignant qui conseille les étudiants du département d'histoire.
"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'",Trouver le nom et le salaire des instructeurs qui conseillent n'importe quel étudiant du département d'histoire ?
"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'",Quels sont les noms et les salaires des instructeurs qui conseillent les étudiants du département d'histoire ?
"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'",Trouvez le nom et le salaire des instructeurs qui sont les conseillers des étudiants du département de mathématiques.
"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'",Quels sont les noms et les salaires des instructeurs qui conseillent les étudiants du département de mathématiques ?
SELECT course_id FROM course EXCEPT SELECT course_id FROM prereq,Trouver l'identifiant des cours qui n'ont pas de prérequis ?
SELECT course_id FROM course EXCEPT SELECT course_id FROM prereq,Quels sont les identifiants des cours sans prérequis ?
SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.title = 'International Finance'),Quel est le titre de la classe préalable du cours de finance internationale ?
SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.title = 'International Finance'),Donner le titre du prérequis au cours Finance Internationale.
SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.title = 'International Finance'),Quel est le titre du cours préalable du cours Mobile Computing ?
SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.title = 'International Finance'),Quel est le titre du cours qui est un prérequis pour l'informatique mobile ?
SELECT title FROM course WHERE course_id IN (SELECT T1.course_id FROM prereq AS T1 JOIN course AS T2 ON T1.prereq_id = T2.course_id WHERE T2.title = 'Differential Geometry'),Trouvez le titre du cours dont le prérequis est le cours Géométrie différentielle.
SELECT title FROM course WHERE course_id IN (SELECT T1.course_id FROM prereq AS T1 JOIN course AS T2 ON T1.prereq_id = T2.course_id WHERE T2.title = 'Differential Geometry'),Quel est le titre du cours avec la géométrie différentielle comme prérequis ?
SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),Trouvez les noms des étudiants qui ont suivi n'importe quel cours au semestre d'automne de l'année 2003.
SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),Comment s'appellent les étudiants qui ont suivi un cours à l'automne 2003?
SELECT T1.title FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id = T2.course_id WHERE building = 'Chandler' AND semester = 'Fall' AND YEAR = 2010,Quel est le titre du cours qui a été offert au bâtiment Chandler pendant le semestre d'automne de l'année 2010 ?
SELECT T1.title FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id = T2.course_id WHERE building = 'Chandler' AND semester = 'Fall' AND YEAR = 2010,Donnez le titre du cours offert à Chandler à l'automne 2010.
SELECT T1.name FROM instructor AS T1 JOIN teaches AS T2 ON T1.id = T2.id JOIN course AS T3 ON T2.course_id = T3.course_id WHERE T3.title = 'C Programming',Trouvez le nom des instructeurs qui ont enseigné le cours de programmation C auparavant.
SELECT T1.name FROM instructor AS T1 JOIN teaches AS T2 ON T1.id = T2.id JOIN course AS T3 ON T2.course_id = T3.course_id WHERE T3.title = 'C Programming',Quels sont les noms des instructeurs qui ont enseigné des cours de programmation C ?
SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'Math' ORDER BY T3.tot_cred,Trouvez le nom des instructeurs qui conseillent les étudiants du département de mathématiques et triez les résultats par crédit total des étudiants.
SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'Math' ORDER BY T3.tot_cred,Quels sont les noms de tous les instructeurs qui conseillent les étudiants dans le département de mathématiques triés par le nombre total de crédits de l'étudiant.
SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id ORDER BY T3.tot_cred DESC LIMIT 1,Trouvez le nom de l'instructeur qui est le conseiller de l'étudiant qui a le plus grand nombre de crédits totaux.
SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id ORDER BY T3.tot_cred DESC LIMIT 1,Quel est le nom de l'instructeur qui conseille l'étudiant avec le plus grand nombre total de crédits ?
SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches),Trouver le nom des instructeurs qui n'ont donné aucun cours ?
SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches),Quels sont les noms des instructeurs qui n'ont pas enseigné?
SELECT id FROM instructor EXCEPT SELECT id FROM teaches,Trouver l'identifiant des instructeurs qui n'ont enseigné aucun cours ?
SELECT id FROM instructor EXCEPT SELECT id FROM teaches,Quels sont les identifiants des instructeurs qui n'ont pas enseigné ?
SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches WHERE semester = 'Spring'),Trouvez les noms des instructeurs qui n'ont suivi aucun cours au cours d'un semestre de printemps.
SELECT name FROM instructor WHERE id NOT IN (SELECT id FROM teaches WHERE semester = 'Spring'),Comment s'appellent les instructeurs qui n'ont pas donné de cours au printemps ?
SELECT dept_name FROM instructor GROUP BY dept_name ORDER BY avg(salary) DESC LIMIT 1,Trouvez le nom du département qui a le salaire moyen le plus élevé des professeurs.
SELECT dept_name FROM instructor GROUP BY dept_name ORDER BY avg(salary) DESC LIMIT 1,Quel département a le salaire moyen d'instructeur le plus élevé ?
"SELECT avg(T1.salary) , count(*) FROM instructor AS T1 JOIN department AS T2 ON T1.dept_name = T2.dept_name ORDER BY T2.budget DESC LIMIT 1",Trouvez le nombre et le salaire moyen de tous les instructeurs qui sont dans le département avec le budget le plus élevé.
"SELECT avg(T1.salary) , count(*) FROM instructor AS T1 JOIN department AS T2 ON T1.dept_name = T2.dept_name ORDER BY T2.budget DESC LIMIT 1",Combien y a-t-il d'instructeurs dans le département avec le budget le plus élevé et quel est leur salaire moyen ?
"SELECT T3.title , T3.credits FROM classroom AS T1 JOIN SECTION AS T2 ON T1.building = T2.building AND T1.room_number = T2.room_number JOIN course AS T3 ON T2.course_id = T3.course_id WHERE T1.capacity = (SELECT max(capacity) FROM classroom)",Quel est le titre et les crédits du cours enseigné dans la plus grande salle de classe (avec la plus grande capacité) ?
"SELECT T3.title , T3.credits FROM classroom AS T1 JOIN SECTION AS T2 ON T1.building = T2.building AND T1.room_number = T2.room_number JOIN course AS T3 ON T2.course_id = T3.course_id WHERE T1.capacity = (SELECT max(capacity) FROM classroom)",Donnez le titre et les crédits du cours qui est enseigné dans la classe ayant la plus grande capacité.
SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),Trouvez le nom des étudiants qui n'ont suivi aucun cours du département de biologie.
SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),Comment s'appellent les étudiants qui n'ont suivi aucun cours de biologie ?
"SELECT count(DISTINCT T2.id) , count(DISTINCT T3.id) , T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name = T2.dept_name JOIN instructor AS T3 ON T1.dept_name = T3.dept_name GROUP BY T3.dept_name",Trouver le nombre total d'étudiants et le nombre total d'instructeurs pour chaque département.
"SELECT count(DISTINCT T2.id) , count(DISTINCT T3.id) , T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name = T2.dept_name JOIN instructor AS T3 ON T1.dept_name = T3.dept_name GROUP BY T3.dept_name",Combien y a-t-il d'étudiants et d'enseignants dans chaque département ?
SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id = T2.id WHERE T2.course_id IN (SELECT T4.prereq_id FROM course AS T3 JOIN prereq AS T4 ON T3.course_id = T4.course_id WHERE T3.title = 'International Finance'),Trouver le nom des étudiants qui ont suivi le cours préalable du cours intitulé Finance internationale.
SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.id = T2.id WHERE T2.course_id IN (SELECT T4.prereq_id FROM course AS T3 JOIN prereq AS T4 ON T3.course_id = T4.course_id WHERE T3.title = 'International Finance'),Comment s'appellent les étudiants qui ont suivi le prérequis du cours Finance Internationale ?
"SELECT name , salary FROM instructor WHERE salary < (SELECT avg(salary) FROM instructor WHERE dept_name = 'Physics')",Trouvez le nom et le salaire des instructeurs dont le salaire est inférieur au salaire moyen des instructeurs du département de physique.
"SELECT name , salary FROM instructor WHERE salary < (SELECT avg(salary) FROM instructor WHERE dept_name = 'Physics')",Quels sont les noms et les salaires des instructeurs qui gagnent moins que le salaire moyen des instructeurs du département de physique ?
SELECT T3.name FROM course AS T1 JOIN takes AS T2 ON T1.course_id = T2.course_id JOIN student AS T3 ON T2.id = T3.id WHERE T1.dept_name = 'Statistics',Trouvez le nom des étudiants qui ont suivi un cours offert par le département de statistique.
SELECT T3.name FROM course AS T1 JOIN takes AS T2 ON T1.course_id = T2.course_id JOIN student AS T3 ON T2.id = T3.id WHERE T1.dept_name = 'Statistics',Comment s'appellent les étudiants qui ont suivi des cours de statistique ?
"SELECT T2.building , T2.room_number , T2.semester , T2.year FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id = T2.course_id WHERE T1.dept_name = 'Psychology' ORDER BY T1.title","Trouvez le bâtiment, le numéro de chambre, le semestre et l'année de tous les cours offerts par le département de psychologie triés par titres de cours."
"SELECT T2.building , T2.room_number , T2.semester , T2.year FROM course AS T1 JOIN SECTION AS T2 ON T1.course_id = T2.course_id WHERE T1.dept_name = 'Psychology' ORDER BY T1.title","Quels sont le bâtiment, le numéro de chambre, le semestre et l'année des cours du département de psychologie, triés par titre de cours ?"
SELECT name FROM instructor WHERE dept_name = 'Comp. Sci.',Trouver les noms de tous les instructeurs du département d'informatique
SELECT name FROM instructor WHERE dept_name = 'Comp. Sci.',Quels sont les noms de tous les instructeurs de la Comp. Sci. département?
